fold,0.5,0.6,0.7,0.8,0.9,avg_accuracy
1,0.9107981220657277,0.8967136150234741,0.9131455399061033,0.9154929577464789,0.8826291079812206,0.903755868544601
2,0.7514910536779325,0.7455268389662028,0.7455268389662028,0.7395626242544732,0.731610337972167,0.7427435387673956
3,0.8190709046454768,0.8166259168704156,0.8190709046454768,0.8092909535452323,0.8092909535452323,0.8146699266503667
4,0.7270642201834863,0.7087155963302753,0.7201834862385321,0.713302752293578,0.7339449541284404,0.7206422018348624
5,0.7538461538461538,0.7666666666666667,0.7384615384615385,0.7487179487179487,0.7564102564102564,0.7528205128205128
Avg,0.7924540908837555,0.7868497267714069,0.7872776616435707,0.7852734473115422,0.7827771220074633,0.7869264097235478

fold,0.5,0.6,0.7,0.8,0.9,avg_f1_score
1,0.9107981220657277,0.8967136150234741,0.9131455399061033,0.9154929577464789,0.8826291079812206,0.9010715228030388
2,0.7514910536779325,0.7455268389662028,0.7455268389662028,0.7395626242544732,0.731610337972167,0.7597778222955764
3,0.8190709046454768,0.8166259168704156,0.8190709046454768,0.8092909535452323,0.8092909535452323,0.8135697457551982
4,0.7270642201834863,0.7087155963302753,0.7201834862385321,0.713302752293578,0.7339449541284404,0.70200164933905
5,0.7538461538461538,0.7666666666666667,0.7384615384615385,0.7487179487179487,0.7564102564102564,0.7212941851030783
Avg,0.7830474903507071,0.7817544012817595,0.7799871541781008,0.7776306767774811,0.7752952027078932,0.7795429850591884

fold,0.5,0.6,0.7,0.8,0.9,avg_precision
1,0.9107981220657277,0.8967136150234741,0.9131455399061033,0.9154929577464789,0.8826291079812206,0.9000596474712909
2,0.7514910536779325,0.7455268389662028,0.7455268389662028,0.7395626242544732,0.731610337972167,0.7915827365834874
3,0.8190709046454768,0.8166259168704156,0.8190709046454768,0.8092909535452323,0.8092909535452323,0.8126761922433404
4,0.7270642201834863,0.7087155963302753,0.7201834862385321,0.713302752293578,0.7339449541284404,0.686686621058869
5,0.7538461538461538,0.7666666666666667,0.7384615384615385,0.7487179487179487,0.7564102564102564,0.7169495777121613
Avg,0.7840010249653446,0.7867742204710598,0.78238396543137,0.7783231193237221,0.7764724448776524,0.7815909550138298

fold,0.5,0.6,0.7,0.8,0.9,avg_recall
1,0.9107981220657277,0.8967136150234741,0.9131455399061033,0.9154929577464789,0.8826291079812206,0.903755868544601
2,0.7514910536779325,0.7455268389662028,0.7455268389662028,0.7395626242544732,0.731610337972167,0.7427435387673956
3,0.8190709046454768,0.8166259168704156,0.8190709046454768,0.8092909535452323,0.8092909535452323,0.8146699266503667
4,0.7270642201834863,0.7087155963302753,0.7201834862385321,0.713302752293578,0.7339449541284404,0.7206422018348624
5,0.7538461538461538,0.7666666666666667,0.7384615384615385,0.7487179487179487,0.7564102564102564,0.7528205128205128
Avg,0.7924540908837555,0.7868497267714069,0.7872776616435707,0.7852734473115422,0.7827771220074633,0.7869264097235478

fold,0.5,0.6,0.7,0.8,0.9,avg_auc
1,0.9107981220657277,0.8967136150234741,0.9131455399061033,0.9154929577464789,0.8826291079812206,0.9309398496240601
2,0.7514910536779325,0.7455268389662028,0.7455268389662028,0.7395626242544732,0.731610337972167,0.8004791941714341
3,0.8190709046454768,0.8166259168704156,0.8190709046454768,0.8092909535452323,0.8092909535452323,0.8412685449843474
4,0.7270642201834863,0.7087155963302753,0.7201834862385321,0.713302752293578,0.7339449541284404,0.5491003787878788
5,0.7538461538461538,0.7666666666666667,0.7384615384615385,0.7487179487179487,0.7564102564102564,0.7290745464852607
Avg,0.7743329671477076,0.7704411047926032,0.77604170600216,0.7679640516981847,0.7620826844123257,0.7701725028105962
